POSTE,RR
30132004,943.9
30153003,1285.8
30164001,609.4
30176002,894.0
30189001,453.4
30202002,523.8
30209002,504.8
30219001,603.5
30224001,536.4
30243001,715.0
30258001,465.9
30263001,805.9
30269006,938.0
30297001,1000.4
30305001,663.5
30316004,659.5
30334003,536.8
30339001,1498.4
30349001,553.4
30350001,1032.6
30350100,707.0
30352002,541.2
31011001,1136.4
31035001,669.0
31037002,677.7
31042012,845.5
31042400,102.3
31069001,600.7
31070004,927.5
31085400,2.5
31147001,803.2
31157001,631.0
31221400,188.5
31299001,592.1
31374001,653.7
31403002,714.6
31404001,972.8
31406002,760.9
31451001,786.6
31454001,734.1
31478001,540.5
31508400,924.8
31540001,652.9
31579001,710.0
32013005,871.4
32035001,1056.5
32107006,948.9
32132001,941.1
32147001,783.8
32155001,1096.3
32182001,762.7
32190001,1194.4
32245001,1270.4
32248001,809.9
32256001,973.1
32315001,1020.4
32355001,979.8
32414001,1314.8
33042001,1295.1
33042005,1182.5
33063001,1095.6
33080001,1176.0
33095001,1168.6
33116001,1064.6
33122003,1378.0
33195001,1062.1
33214002,1287.3
33236002,1114.4
33281001,1186.4
33314005,1090.4
33394002,1028.3
33415001,1091.3
33482001,990.5
33484001,1195.3
33494001,1404.9
33504001,1086.3
33529001,1132.8
33540001,1032.1
33550001,1165.0
34028003,457.3
34032002,241.0
34046005,1034.0
34055003,986.3
34064003,886.5
34142001,197.3
34144001,613.2
34150001,233.5
34151005,252.7
34154001,261.3
34163001,447.3
34174002,706.0
34178001,301.9
34205001,1317.3
34209002,184.5
34217001,487.5
34237001,337.0
34239002,388.7
34269001,424.1
34274001,687.7
34277001,704.3
34301002,210.2
34302001,382.9
34306001,599.3
34311001,271.5
34317001,713.7
34319001,316.7
34334002,385.5
34335003,361.0
34337001,262.5
35005001,756.6
35026001,861.7
35044001,989.5
35057003,826.5
35110003,814.7
35115001,924.6
35162003,1128.1
35178001,953.3000000000001
35202001,900.0
35224001,827.7
35225001,812.8
35228001,701.0
35238003,825.3
35240001,790.5
35281001,736.2
35294001,939.3
35335001,923.3
35347001,836.4
36001001,1020.2
36018001,937.6
36034002,730.7
36035002,919.0
36063001,739.8
36070001,1123.9
36088005,735.3
36093002,860.6
36103001,855.2
36113001,852.4
36127002,732.9
36139001,858.8
36141001,874.3000000000001
36147001,701.9
36155001,837.4
36169001,864.0
36173002,897.7
36186001,825.3
36192001,870.3
36208001,849.8
36219001,802.2
37003001,773.3
37023002,691.1
37107001,771.8
37113001,797.9
37119001,769.4
37122001,739.7
37128002,755.8
37170001,737.2
37179001,687.7
37192001,730.1
37213003,777.0
37216003,773.5
37240001,712.1
37241001,821.2
37242002,792.0
37253001,645.4
38002406,176.7
38005001,2369.5
38005402,20.0
38006001,1462.8
38006400,120.8
38020400,292.8
38021001,1697.7
38034001,1044.6
38040001,1204.9
38046002,1133.1
38053003,837.0
38082001,1175.9
38095001,1022.1
38103002,1298.1
38133001,1152.4
38153001,1422.7
38162001,1117.2
38163001,2145.9
38185012,1130.6
38186001,1424.4
38186400,168.4
38187400,20.0
38191002,997.8000000000001
38191400,560.6
38205400,42.599999999999994
38207001,1502.6
38242001,1012.3
38253400,338.5
38253407,46.2
38264400,52.7
38269004,942.6
38275002,987.1
38285001,1645.7
38289401,565.1
38299001,1115.9
38299002,1105.7
38315002,1198.2
38333003,1676.2
38334001,1266.3
38334400,440.1
38336001,702.8
38342001,1059.0
38349001,771.1
38362001,1498.2
38366001,1130.9
38375009,1122.8
38375400,1019.0
38375402,10.0
38375403,198.8
38375405,130.1
38375406,258.6
38384001,919.7
38395004,1832.0
38395403,18.0
38442001,2282.3
38442008,1850.4
38446003,2250.8
38501001,1316.0
38504001,1407.9
38504002,1901.0
38518001,1037.6
38522004,1530.0
38524001,1032.3
38527001,1788.9
38527400,503.0
38538002,1142.8
38548001,1276.8
38548400,153.4
38567002,1436.8
38567407,443.9
39013004,1246.9
39097003,1698.2
39130002,1995.0
39156001,1704.6
39159002,1301.6
39177001,1439.0
39198001,1059.0
39225002,1614.2
39235001,1086.7
39362001,1120.0
39413001,1565.4
39485002,1334.2
39526003,927.0
40031001,1275.7
40033001,1289.6
40046001,1022.6
40065002,1295.0
40087001,1226.0
40088001,1451.4
40134001,1436.0
40164004,1087.6
40192001,1166.9
40218002,1224.5
40227001,1262.9
40243001,1355.0
40246003,1293.1
40272002,1821.5
40286001,1194.3
40304001,1442.3
40321002,1219.3
41018001,693.3
41050002,752.1
41053001,729.7
41075003,786.8
41080001,745.8
41097001,697.5
41106001,832.8
41152001,724.6
41173003,702.3
41269001,735.4
41281001,715.3
41285001,800.4
42005001,583.4
42011001,621.0
42019005,590.5
42023004,843.3
42039003,1217.9
42040001,1377.1
42059001,703.5
42094003,587.0
42098001,800.7
42101001,1020.3000000000001
42102002,735.4
42145003,846.7
42152001,794.7
42159001,1274.8
42165003,694.1
42204002,758.8
42207005,650.3
42218011,636.9
42224003,1045.0
42227001,703.3
42239001,644.1
42248002,1019.0
42253001,673.0
42287001,979.9
42299001,502.59999999999997
42306001,1097.8
42322001,857.0
42332001,543.1
43003001,910.6
43012001,569.5
43014001,669.2
43020002,666.9
43037001,702.5
43046001,529.6
43062001,661.3
43067001,615.5
43071001,735.5
43091005,1076.2
43093001,819.4
43095001,802.1
43096001,529.0
43104001,948.1
43111002,670.6
43118001,589.3
43130002,821.9
43137003,721.4
43150001,772.1999999999999
43162001,607.5
43212002,760.9
43223001,869.9
43234005,704.2
43241002,618.5
43244003,762.0
43246001,635.9
43268004,855.9
44015001,960.0
44020001,858.5
44067001,1007.7
44072002,1013.2
44103001,896.0
44109012,1027.3
44110002,892.1
44113001,786.7
44117002,905.2
44120002,989.2
44129001,1102.0
44131002,987.7
44180005,903.2
44181001,903.3
44188001,1013.8
45004001,656.1
45055001,628.2
45069001,783.7
45145001,802.9
45187001,832.1
45193001,798.5
45199003,737.7
45234009,817.0
45245001,793.7
45253001,690.3
45270002,767.3
45340002,837.1
46005001,1067.9
46031001,1180.7
46038002,1110.0
46071001,1619.2
46100001,1000.6
46127001,960.9
46128002,1076.2
46143001,1213.1
46160001,1614.5
46173006,1000.2
46176001,999.4
46181001,1001.6999999999999
46197002,985.2
46201001,1083.4
46287001,1014.0
46330002,1055.7
46332001,1154.7
47004001,812.7
47038002,832.7
47086001,1005.6
47091001,790.0
47093002,979.9
47123002,973.9
47138001,965.1
47163001,915.7
47175001,814.2
47213001,1009.8
47221001,1066.8
47254001,1041.4
47323004,853.5
47327001,996.8
48004001,730.2
48009001,931.9
48020003,986.5
48027002,976.0
48027003,950.6
48032003,898.9
48036001,1307.4
48043001,846.9
48051002,1005.4
48060001,1047.3
48061002,1009.4
48069001,743.7
48070004,284.9
48095004,831.7
48095005,821.8
48103001,815.3
48108001,1044.3
48110001,1177.0
48116001,973.1
48130002,912.6
48146001,1041.3999999999999
48148004,872.1
48156002,1085.4
48176002,983.4
48186001,956.0
48187003,1485.0
48198001,1163.5
49007011,840.0
49008001,823.4
49020001,799.8
49022001,892.4
49027001,1011.7
49099003,914.3
49138001,768.6
49176001,833.2
49188001,794.1
49191001,732.3
49215002,775.0
49248003,835.2
49276001,828.4
49281001,1078.6
49307001,775.7
49328001,711.1
49331003,783.2
49368001,798.2
49373001,829.4
50020001,755.2
50082001,1434.0
50111001,1390.2
50139001,1168.3
50144001,1633.7
50147001,1270.4
50174001,1263.0
50209001,1154.0
50215002,1004.4
50277001,1032.7
50298001,1087.0
50410003,763.2
50456001,1385.6
50484002,1102.5
50509002,946.7
50514001,1282.8
50531001,1081.3
50562001,1015.3
51015001,872.7
51153001,765.6
51210001,720.5
51237002,798.5
51242001,768.0
51262001,865.8
51298001,910.8
51388003,779.0
51449002,670.1
51545001,979.6
51588001,1006.4
51590002,998.2
51595002,872.0
52023002,987.8
52055001,1020.9
52061002,1043.2
52074002,838.9
52084002,1031.7
52114001,866.7
52123003,1131.0
52131002,965.9
52145001,984.5
52197003,983.5
52248002,911.2
52269001,943.6
52294001,983.4
52332001,1017.4
52348003,857.3
52443001,1203.6
52447001,930.0
52448001,931.6
52450002,963.9
52469001,959.6
52529001,912.6999999999999
53077001,822.6
53078001,805.8
53083001,948.4
53096004,867.6
53097001,887.8
53110002,897.0
53116003,1031.2
53130008,807.6
53147001,1028.0
53159002,1000.6
53185001,980.2
53238003,1033.2
54040001,971.9
54113002,785.0
54171001,888.7
54181001,1247.3
54182001,887.0
54322001,1088.1
54405001,900.5
54407001,892.9
54415001,793.2
54481001,856.9
54526001,831.6
54582001,1008.4
55014001,1024.1
55041001,1051.0
55060002,1036.1
55067001,1158.8
55073001,1033.8
55108004,1080.3
55123002,994.7
55129001,1141.0
55179001,1262.8
55248001,993.3
55328001,1111.3
55364001,953.5
55386002,863.0
55443001,765.8
55484001,1115.2
55517002,933.8
55531001,960.4
56004001,1077.3
56007001,1304.9
56009001,634.0
56017003,1076.2
56031001,1310.9
56069001,910.2
56137001,1326.5
56144001,1020.9
56151001,918.6
56159001,1085.4
56163001,1289.6
56165003,850.7
